Amusing_Name,redshift_amusing,def_name,SN_name_1,SN_type,pgc,hyperleda_name,other_names(pgc),objtype,RA_hours_hyperleda,RA_degrees_hyperleda,DEC_deggrees_hyperleda,Delta_RA(arcsec),Delta_dec(arcsec),l2,b2,type,bar,ring,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,bt,e_bt,it,e_it,ubt,bvt,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,m21,e_m21,vrad,e_vrad,v,e_v,ag,ai,incl,btc,ubtc,bvtc,bri25,vrot,e_vrot,modz,mod0,mabs,Pointings,RA_pointing,DEC_pointing,RA_SN,DEC_SN,Source
ESO510-G034,0.037906,ESO 510- G 034,LSQ12cfx,Ia,49808,ESO510-034,PGC049808/ESOLV5100340/ESO510-034/6dFJ1359420-252243/2MASXJ13594200-2522423,G,13.9950047,209.9250705,-25.3784118,-0.02538,-0.071752,321.8124884,34.9781971,S0-a,,,,0.1,2.9,0.908,0.048,0.215,0.022,107.92,21.669,0.424,15.813,0.69,13.365,0.075,,,,,,,170.0,8.21,,,,,11403.3,46.5,0.313,0.102,58.46,15.227,,,23.95,,,36.105,,-20.878,1.0,13:59:42,-25:22:42,13:59:41,-25:22:51,P95
anon51,NULL,anon51-null,CSP12N,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12:38:16,-15:06:33,12:38:16,-15:06:32,P95
anon52,0.06,GALEXASC J101741.80-072452.2,LSQ12agq,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10:17:42,-7:24:54,10:17:42,-7:24:54,P95
anon53,0.1,GALEXASC J105517.85-141757.2,LSQ12aor,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10:55:18,-14:18:00,10:55:18,-14:18:01,P95
anon54,0.105,2MASX J05310364-1948063,LSQ12ca,Ia,850292,PGC850292,PGC850292/2MASXJ05310364-1948063,G,5.5176778,82.765167,-19.80175,0.53988,0.73,222.8249419,-26.2418389,,,,,,,0.59,0.085,0.4,0.028,24.0,,,17.58,0.5,,,,,,,,,,,,,,,,,0.212,,68.8,17.368,,,24.27,,,,,,1.0,05:31:04,-19:47:59,05:31:04,-19:47:59,P95
anon55,0.025017,IC 0803 NED01,SN2012G,Ia,215034,PGC215034,SDSSJ123935.85+163516.2/SDSSJ123935.85+163516.1/PGC215034/IC0803:/CGCG099-105:/2MASXJ12393585+1635161,G,12.6599564,189.899346,16.5878095,0.23544,-0.01142,287.7467395,79.1088288,,,,,,,1.001,0.16,0.495,0.1,75.44,19.598,0.651,16.268,0.364,15.372,0.088,,,,,,,,,,,,,7791.4,2.2,0.103,,74.34,16.086,,,25.014,,,35.31,,-19.224,1.0,12:39:36,16:35:16,12:39:35,16:35:12,P95
NGC975,0.020384,NGC 0975,SN2012E,Ia,9735,NGC0975,UGC02030/PGC009735/NGC0975/MCG+01-07-009/CGCG414-017/2MASXJ02332274+0936063,G,2.5563167,38.3447505,9.60175,0.38982,-0.03,160.3618863,-45.7314496,S0-a,,,,-0.1,0.4,0.926,0.071,0.129,0.028,0.5,,,14.331,0.378,,,,,171.09,10.14,,,,,,,6116.9,8.3,6116.7,5.9,0.322,0.052,46.12,13.865,,,22.623,237.36,14.4,34.738,,-20.873,1.0,02:33:22,09:35:30,02:33:23,09:35:06,P95
CGCG048-051,0.027762,CGCG 048-051,SN2011jt,Ia,53208,PGC053208,SDSSJ145323.40+025759.5/SDSSJ145323.39+025759.4/PGC053208/CGCG048-051/2MASXJ14532341+0258000,G,14.88984,223.3476,2.9665403,-0.636,0.045492,358.5765151,52.1392124,,,,,,,0.721,0.077,0.143,0.029,6.9,21.874,0.261,15.815,0.412,14.493,0.091,,,,,,,,,,,,,8320.3,3.1,0.196,,44.88,15.537,,,23.162,,,35.445,,-19.908,1.0,14:53:23,02:58:00,14:53:23,02:57:43,P95
PGC170294,0.02431,PGC170294,ASASSN13an,Ia,170294,PGC170294,SS2b239.009/PGC170294/6dFJ1345365-071935/2MASXJ13453653-0719350,G,13.76015,206.40225,-7.3263611,-0.06,-0.010004,325.7076369,53.1330622,Sa,,,,1.0,2.0,,,,,55.0,,,14.93,0.5,,,,,,,,,,,,,,,7286.7,14.5,0.169,,,14.67,,,,,,35.131,,-20.461,1.0,13:45:37,-7:19:32,13:45:36,-7:19:32,P96
PGC004701,0.017752,PGC004701,ASASSN13ar,Ia,4701,PGC004701,VV478/PGC1018800/PGC004701/MCG-01-04-025/2MASXJ01184264-0726588,G,1.3118649,19.6779735,-7.4496901,0.72954,-0.611564,142.3720835,-69.2856011,Sbc,,R,,3.9,2.5,1.002,0.046,0.033,0.024,,,,15.045,0.356,13.325,0.084,,,,,,,,,,,5321.0,5.5,5321.2,3.3,0.238,0.054,22.76,14.719,,,23.733,,,34.404,,-19.686,1.0,01:18:44,-7:26:58,01:18:42,-7:26:42,P96
UGC01395,0.017405,UGC 01395,ASASSN13bb,Ia,7164,UGC01395,[RC2]A0152+06/UM146/UGC01395/SRGb119.027/PGC007164/MCG+01-05-048/KUG0152+063/KIG0072/IRAS01527+0622/CGCG412-046/2MASXJ01552201+0636421,G,1.9227806,28.841709,6.6116944,-0.01524,0.090016,149.8833863,-52.8820739,Sb,,R,,3.1,0.4,1.086,0.039,0.215,0.03,158.66,,,14.461,0.275,12.35,0.1,,,104.76,5.7,,,,,16.547,0.298,5164.0,10.0,5174.7,10.7,0.315,0.317,55.08,13.79,,,23.271,127.77,7.04,34.37,,-20.58,2.0,1:55:23/1:55:21,6:36:23/6:37:03,01:55:21,06:36:34,P96
NGC1954,0.010441,NGC 1954,ASASSN13cc,Ia,17422,NGC1954,PGC017422/NPM1G-14.0248/NGC1954/MCG-02-15-003/IRAS05305-1405/HIPASSJ0532-14/AGC450069/2MASXJ05324835-1403460,G,5.5467639,83.2014585,-14.0627778,-0.07506,8.0E-6,217.1552217,-23.6544596,Sbc,,,,4.4,0.6,1.559,0.029,0.29,0.03,149.32,23.302,0.325,12.562,0.153,11.806,0.252,0.05,0.63,206.68,4.27,,,,,13.733,0.109,3126.6,3.9,3126.5,2.8,0.622,0.476,61.55,11.443,-0.106,0.412,23.564,235.08,4.95,33.188,,-21.745,6.0,5:32:47/5:32:50/5:32:45/5:32:48/5:32:49/5:32:52,-14:03:59/-14:03:33/-14:03:16/-14:02:50/-14:04:42/-14:04:16,05:32:47,-14:02:46,P96
PGC057687,0.016433,PGC057687,ASASSN13ch,Ia,57687,PGC057687,SDSSJ161633.83-003519.7/SDSSJ161633.82-003519.9/PGC057687/NPM1G-00.0507/CGCG023-030/6dFJ1616338-003519/2MASXJ16163387-0035192,G,16.276067,244.141005,-0.5887151,-0.0618,-0.062564,12.26166,33.5021836,,,,,,,0.782,0.068,0.448,0.028,172.48,,,16.155,0.494,15.454,0.114,,,,,,,,,,,,,4935.9,1.7,0.525,,71.75,15.581,,,23.804,,,34.317,,-18.736,1.0,16:16:34,-0:35:20,16:16:34,-0:35:27,P96
CGCG051-075,0.018,CGCG 051-075,ASASSN13cj,Ia,57720,PGC057720,SDSSJ161711.04+043314.7/PGC057720/NPM1G+04.0498/KIG0730/CGCG051-075/2MASSJ16171104+0433146,G,16.2864001,244.2960015,4.5540421,-0.06054,0.044844,17.6690225,36.1042309,Sbc,,,,4.4,3.0,0.911,0.183,0.094,0.049,132.81,,,15.945,0.454,14.428,0.087,,,,,,,,,,,,,,,0.315,0.157,37.39,15.473,,,24.067,,,,,,1.0,16:17:11,04:33:15,16:17:11,04:33:15,P96
PGC055442,0.023576,PGC055442,ASASSN13cp,Ia,55442,PGC055442,SDSSJ153348.92+210810.3/SDSSJ153348.91+210810.4/PGC055442/MCG+04-37-003/CGCG136-015/ARK477/2MASXJ15334894+2108102,G,15.5635905,233.4538575,21.1362137,-0.0387,-0.036932,32.739855,52.6323574,E,,,,-5.0,2.0,0.86,0.066,0.124,0.027,17.56,22.321,0.647,14.828,0.294,13.223,0.07,,,,,,,,,,,,,7025.7,2.8,0.249,0.0,64.75,14.474,,,22.983,,,35.106,,-20.632,1.0,15:33:49,21:08:10,15:33:49,21:08:20,P96
PGC002414,0.027219,PGC002414,ASASSN13cu,Ia,2414,PGC002414,SDSSJ004010.55-102626.2/SDSSJ004010.55-102626.1/PGC002414/KAZ361/8ZW035/6dFJ0040105-102626/2MASXJ00401050-1026257,G,0.6695942,10.043913,-10.4405728,-0.05868,0.006208,113.3647673,-73.1028049,,,,,,,0.628,0.233,0.083,0.079,93.01,,,15.667,0.5,14.571,0.071,,,,,,,,,,,,,8155.6,2.6,0.148,,34.93,15.437,,,22.548,,,35.356,,-19.919,1.0,00:40:11,-10:26:26,00:40:10,-10:26:22,P96
PGC2816341,0.017,PGC2816341,ASASSN13dm,Ia,2816341,PGC2816341,[MO2001]J030211.2+155538.0/PGC2816341/NPM1G+15.0113/IRAS02593+1543/AGC121398/2MASXJ03021111+1555387,G,3.0364312,45.546468,15.9273262,-0.07848,0.062568,163.1900179,-36.5238726,,,,,,,,,,,0.0,,,16.1,0.5,,,,,70.25,7.49,,,,,17.435,0.42,5068.0,8.5,5080.8,19.4,0.564,,,15.485,,,,,,34.352,,-18.867,1.0,03:02:11,15:55:39,03:02:11,15:55:39,P96
anon57,0.0264,KUG 1237+183,ASASSN14ad,Ia,89735,PGC089735,SDSSJ124011.38+180342.1/SDSSJ124011.38+180342.0/PGC089735/KUG1237+183,G,12.6698245,190.0473675,18.0617343,-0.1023,-0.024348,286.3916361,80.5701858,Sc,,,,4.8,3.0,0.773,0.067,0.26,0.028,22.86,23.525,0.204,16.961,0.445,15.968,0.066,,,,,,,,,,,,,7919.3,2.5,0.079,0.438,58.64,16.401,,,24.074,,,35.345,,-18.943,1.0,12:40:11,18:03:42,12:40:11,18:03:33,P96
UGC11037,0.010431,UGC 11037,ASASSN14at,II,61102,UGC11037,UGC11037/PGC061102/LGG414:[G93]006/2MASXJ17550542+1815267,G,17.918131,268.771965,18.2572,0.1926,0.008,43.5942557,20.4001616,Sd,,,,8.0,0.5,0.954,0.051,0.53,0.028,52.24,,,16.38,0.519,,,,,73.92,4.74,,,,,17.481,0.42,3127.0,10.3,3127.0,7.2,0.356,0.963,90.0,15.053,,,23.821,73.92,,33.411,,-18.358,1.0,17:55:05,18:15:26,17:55:05,18:15:27,P96
anon59,0.032668,SDSS J102131.91+082419.8,ASASSN14ba,Ia-91T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10:21:32,08:24:20,10:21:32,08:24:19,P96
CGCG103-030,0.022447,CGCG 103-030,ASASSN14bf,IIP,49715,PGC049715,SDSSJ135813.13+173151.9/SDSSJ135813.13+173151.8/PGC049715/NPM1G+17.0468/MCG+03-36-014/CGCG103-030/2MASXJ13581316+1731521,G,13.9703079,209.5546185,17.5310761,-0.01266,0.012604,4.487283,71.8475573,,,,,,,0.787,0.062,0.071,0.031,76.71,21.931,0.254,15.941,0.397,14.567,0.095,,,,,,,,,,,,,6719.0,4.6,0.128,,32.47,15.745,,,23.614,,,35.002,,-19.257,1.0,13:58:13,17:31:52,13:58:13,17:31:57,P96
CGCG023-005,0.03334,CGCG 023-005,ASASSN14co,Ia,56486,PGC056486,PGC056486/CGCG023-005/2MASXJ15573025+0106432,G,15.9584028,239.376042,1.112,0.07488,-0.02,10.7043236,38.4020137,,,,,,,0.8,0.063,0.23,0.028,12.5,,,15.565,0.336,14.11,0.077,,,,,,,,,,,,,9995.0,79.0,0.413,,55.23,15.052,,,23.305,,,35.844,,-20.792,1.0,15:57:30,01:06:43,15:57:30,01:06:34,P96
anon60,0.024797,2MASX J12470274-2414435,ASASSN14cu,Ia,158115,PGC158115,PGC158115/6dFJ1247028-241444/2MASXJ12470274-2414435,G,12.7841011,191.7615165,-24.2455266,-0.09594,-0.010424,301.6506293,38.6153271,S0-a,,,,-1.0,2.0,,,,,35.0,,,16.65,0.5,,,,,,,,,,,,,,,7444.4,42.8,0.41,,,16.129,,,,,,35.155,,-19.027,1.0,12:47:03,-24:14:44,12:47:03,-24:14:42,P96
ESO075-G049,0.037519,ESO 075- G 049,ASASSN14db,Ia,67875,ESO075-049,PGC067875/IRAS21578-7017/ESOLV0750490/ESO075-049/6dFJ2202018-700230/2MASXJ22020178-7002298,G,22.0338347,330.5075205,-70.0416111,-0.00738,-0.020004,320.6095213,-40.7758063,Sc,,,,4.6,2.2,0.815,0.048,0.111,0.028,,20.686,0.352,15.087,0.187,13.46,0.077,,,,,,,,,,,,,11248.8,45.0,0.13,0.187,40.29,14.708,,,22.693,,,36.038,,-21.33,1.0,22:02:02,-70:02:29,22:02:02,-70:02:28,P96
NGC2466,0.017722,NGC 2466,ASASSN14dd,Ibn,21714,NGC2466,PGC021714/NGC2466/IRAS07456-7117/HIPASSJ0745-71/ESOLV0590180/ESO059-018/6dFJ0745161-712438/2MASXJ07451596-7124376,G,7.7544458,116.316687,-71.4104306,-0.00732,-0.044984,283.4704348,-21.4793448,Sc,,,,5.0,0.4,1.179,0.029,0.016,0.026,,22.059,0.257,13.718,0.085,11.975,0.075,-0.27,0.58,59.35,2.72,,,,,14.662,0.16,5331.0,5.8,5321.5,6.2,0.715,0.028,16.0,12.945,-0.415,0.377,23.322,215.25,12.7,34.317,,-21.372,4.0,7:45:21/7:45:11/7:45:21/7:45:11,-71:25:03/-71:25:03/-71:24:13/-71:24:13,07:45:14,-71:24:14,P96
ESO506-G004,0.013416,ESO 506- G 004,ASASSN14dl,II,39991,ESO506-004,PGC039991/MCG-04-29-021/IRAS12192-2353/ESOLV5060040/ESO506-004/AGC028485/6dFJ1221491-241006/2MIG1709/2MASXJ12214904-2410056,G,12.363623,185.454345,-24.1683003,-0.0642,-0.011892,294.3255237,38.2079812,SABb,B,R,,2.5,1.0,1.344,0.022,0.336,0.023,88.69,21.866,0.307,13.284,0.324,11.255,0.072,,,238.96,4.0,,,,,16.034,0.108,4021.5,6.1,4020.1,7.9,0.334,0.447,67.27,12.472,,,23.228,259.08,4.4,33.778,,-21.306,1.0,12:21:51,-24:10:06,12:21:51,-24:09:54,P96
ESO319-G15,0.009159,ESO 319- G 015,ASASSN14dp,II,34856,ESO319-015,PGC615881/PGC034856/HIPASSJ1122-37/ESO319-015,G,11.3661253,170.4918795,-37.9010083,-0.22662,0.562988,284.0799944,21.6736108,Sm,,,,8.6,2.1,0.97,0.048,0.17,0.027,81.5,,,15.15,0.5,14.22,0.081,,,45.85,2.42,,,,,15.656,0.189,2743.6,7.1,2743.5,5.0,0.524,0.314,54.17,14.309,,,23.394,56.55,3.04,32.873,,-18.565,1.0,11:21:56,-37:53:58,11:21:58,-37:54:24,P96
Mrk842,0.022202,MRK 0842,ASASSN14dz,Ia,53895,PGC053895,SDSSJ150554.86+124439.1/PGC053895/NPM1G+12.0420/MRK0842/MCG+02-38-039/KPG452A/CGCG076-150/ARK470/2MASXJ15055484+1244397,G,15.098574,226.47861,12.744272,-0.0996,-0.03792,15.0699143,55.4324399,S0-a,,,,-1.3,1.5,0.805,0.061,0.225,0.028,127.62,20.749,0.337,15.427,0.391,13.878,0.054,,,,,,,,,,,,,6641.2,2.3,0.16,0.0,63.05,15.168,,,23.148,,,34.976,,-19.808,1.0,15:05:55,12:44:39,15:05:55,12:44:43,P96
PGC053612,0.022722,MCG -01-38-015,ASASSN14eu,Ia-00cx,53612,PGC053612,PGC160381/PGC053612/NPM1G-03.0530/MCG-01-38-015/6dFJ1500389-035130/2MASXJ15003885-0351294,G,15.0107941,225.1619115,-3.8582018,-0.08814,-0.047352,353.1191449,46.0434449,E,,,,-4.3,1.8,1.06,0.045,0.12,0.028,154.5,,,14.888,0.274,,,,,,,,,,,,,,,6860.4,38.3,0.666,0.0,57.1,14.118,,,24.044,,,35.016,,-20.897,1.0,15:00:39,-3:51:30,15:00:37,-3:50:49,P96
anon61,0.019597,2MASX J20220000-5147474,ASASSN14ew,Ia,3922357,2MASXJ20220000-5147474,6dFJ2022000-514748/2MASXJ20220000-5147474,G,20.3666679,305.5000185,-51.7965309,-0.00666,-0.048876,346.9447099,-34.7643413,,,,,,,,,,,140.0,,,15.99,0.5,,,,,,,,,,,,,,,5875.9,30.8,0.252,,,15.679,,,,,,34.585,,-18.906,1.0,20:22:00,-51:47:48,20:22:01,-51:47:45,P96
ESO416-G039,0.022589,ESO 416- G 039,ASASSN14fa,Ia,10872,ESO416-039,PGC010872/ESOLV4160390/ESO416-039/DRCG42-002/6dFJ0252223-314902/2MIG0342/2MASXJ02522234-3149024/2DFGRSS467Z115,G,2.8728736,43.093104,-31.8172747,-0.06744,0.018892,230.3766812,-63.3530131,S0,,,,-2.2,0.9,0.921,0.044,0.107,0.025,8.19,20.214,0.49,14.977,0.225,12.79,0.077,,,,,,,,,,,,,6697.7,30.5,0.088,0.0,45.67,14.788,,,23.322,,,34.881,,-20.093,1.0,02:52:22,-31:49:02,02:52:23,-31:49:18,P96
PGC043070,0.015367,PGC043070,ASASSN14fd,Iin,43070,PGC043070,[DCL86]188/PGC043070/LGG305:[G93]027,G,12.7707702,191.561553,-40.8138371,0.19092,0.281356,301.8721278,22.0472839,,,,,,,0.898,0.06,0.195,0.032,16.0,,,16.53,0.532,14.81,0.093,,,,,,,,,,,,,4652.0,58.8,0.474,,51.48,16.009,,,24.757,,,34.074,,-18.064,1.0,12:46:15,-40:48:47,12:46:15,-40:48:53,P96
anon64,0.03362,2MASX J01504127-1431032,ASASSN14hr,Ia,923603,PGC923603,PGC923603/6dFJ0150413-143103/2MASXJ01504127-1431032,G,1.8447944,27.671916,-14.5175279,0.06024,0.010044,173.4818186,-71.3060496,S0-a,,,,-1.0,2.0,0.87,0.058,0.19,0.028,103.5,,,15.65,0.359,,,,,,,,,,,,,,,10079.0,39.3,0.065,0.0,57.28,15.434,,,23.702,,,35.817,,-20.383,1.0,01:50:41,-14:31:03,01:50:41,-14:31:05,P96
ESO058-G012,0.015,ESO 058- G 012,ASASSN14hu,Ia,19494,ESO058-012,PGC019494/IRAS06437-6935/ESOLV0580120/ESO058-012/2MFGC05370/2MASXJ06432165-6938293,G,6.7226826,100.840239,-69.6414667,-0.08604,-0.071988,280.1742382,-26.0023749,Sbc,,,,4.4,3.0,1.062,0.041,0.673,0.03,51.37,22.027,0.65,15.318,0.227,13.6,0.077,,,,,,,,,,,,,9080.0,270.0,0.312,1.048,90.0,13.899,,,23.184,,,35.541,,-21.642,1.0,06:43:22,-69:38:30,06:43:27,-69:38:15,P96
ESO113-G032,0.029,ESO 113- G 032,ASASSN14ig,Ia,4581,ESO113-032,PGC353827/PGC004581/ESOLV1130320/ESO113-032/2MASXJ01160496-6137196,G,1.2680619,19.0209285,-61.6222255,-0.18426,0.00118,297.7960806,-55.2594969,Sb,,,,3.1,0.5,1.216,0.031,0.519,0.022,55.56,21.553,0.401,14.396,0.205,13.18,0.159,,,,,,,,,,,,,8818.0,65.0,0.09,0.716,80.39,13.523,,,23.398,,,35.477,,-21.954,1.0,01:16:04,-61:37:15,01:16:05,-61:37:16,P96
ESO462-G009,0.019277,ESO 462- G 009,ASASSN14iz,IIP,64537,ESO462-009,PGC064537/MCG-05-48-003/IRAS20186-3127/ESOLV4620090/ESO462-009/6dFJ2021516-311723/2MASXJ20215157-3117233,G,20.364331,305.464965,-31.2897203,-0.1374,-6.92E-4,11.3254451,-31.9487739,SBa,B,R,,1.1,0.5,1.03,0.038,0.23,0.027,162.26,21.558,0.418,14.695,0.176,12.786,0.252,,,,,,,,,,,,,5773.1,17.4,0.298,0.21,58.76,14.114,,,23.329,,,34.585,,-20.471,1.0,20:21:52,-31:17:23,20:21:50,-31:17:07,P96
ESO467-G051,0.006031,ESO 467- G 051,ASASSN14jb,IIP,68726,ESO467-051,RFGC3935/PGC735001/PGC068726/MCG-05-52-070/FGCE1739/ESOLV4670510/ESO467-051/AGC035340,G,22.3881159,335.8217385,-28.9808773,-0.92586,0.015828,20.8476963,-57.3940774,Sc,,,,6.0,1.0,1.435,0.02,0.933,0.027,100.64,22.706,1.186,14.375,0.553,13.539,0.048,,,60.12,1.16,,,,,14.24,0.092,1805.3,4.2,1803.8,5.7,0.081,1.559,90.0,12.727,,,23.543,60.12,,31.968,,-19.24,1.0,22:23:16,-28:58:51,22:23:16,-28:58:31,P96
anon67,0.011325,2MASX J07353554-6246099,ASASSN14jc,Ia,340055,PGC340055,PGC340055/6dFJ0735355-624610/2MASXJ07353554-6246099,G,7.5932056,113.898084,-62.7694306,-0.06024,-0.004984,274.5520445,-19.1154971,,,,,,,0.88,0.057,0.09,0.028,125.5,,,14.97,0.5,13.51,0.073,,,,,,,,,,,,,3395.4,45.0,0.681,,36.3,14.255,,,23.11,,,33.275,,-19.019,1.0,07:35:36,-62:46:10,07:35:35,-62:46:13,P96
PGC128348,0.014827,PGC128348,ASASSN14jg,Ia,128348,PGC128348,PGC195767/PGC128348/6dFJ2333122-603420/2MASXJ23331223-6034201,G,23.5533945,353.3009175,-60.5722626,-0.0303,0.014536,319.1889949,-54.0171699,Sc,,,,5.0,3.0,0.984,0.046,0.091,0.03,15.93,,,14.72,0.534,13.26,0.077,,,,,,,,,,,,,4445.9,33.5,0.065,0.157,36.72,14.473,,,23.203,,,33.931,,-19.457,1.0,23:33:12,-60:34:20,23:33:14,-60:34:12,P96
anon68,0.012,GALEXASC J184443.33-524819.2,ASASSN14jz,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18:44:43,-52:48:19,18:44:44,-52:48:05,P96
ESO253-G003,0.042489,ESO 253- G 003,ASASSN14ko,Iin,17260,ESO253-003,PGC017260/IRAS05238-4602/ESOLV2530030/ESO253-003/2MASXJ05251805-4600213,G,5.4216806,81.325209,-46.0059167,0.07476,0.030012,251.9753923,-33.7068159,Sa,,,,1.0,2.0,0.96,0.044,0.286,0.029,161.57,,,15.172,0.242,13.584,0.102,,,,,,,,,,,,,12709.0,37.0,0.187,0.248,65.0,14.578,,,23.404,,,36.31,,-21.732,1.0,05:25:18,-46:00:21,05:25:18,-46:00:20,P96
anon70,0.023,GALEXASC J003952.48-380347.3,ASASSN14kp,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,00:39:53,-38:03:49,00:39:53,-38:03:52,P96
anon71,0.0336,2MASX J23451480-2947009,ASASSN14kq,Ia,133560,PGC133560,PGC133560/6dFJ2345148-294701/2MASXJ23451480-2947009/2DFGRSS354Z135,G,23.7541192,356.311788,-29.7836135,-0.04368,0.10086,18.6947034,-75.2249423,Sc,,,,5.0,3.0,0.719,0.142,0.211,0.053,110.5,,,16.355,0.354,,,,,,,,,,,,,,,10073.0,45.0,0.081,0.36,53.6,15.858,,,23.288,,,35.807,,-19.949,1.0,23:45:15,-29:47:00,23:45:16,-29:47:01,P96
anon72,0.014,GALEXASC J125413.02-073849.5,ASASSN14kr,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12:54:13,-7:38:50,12:54:13,-7:38:57,P96
NGC4666,0.005101,NGC 4666,ASASSN14lp,Ia,42975,NGC4666,[FN2007]1233/UGC07926/PGC042975/NGC4666/MRC1242-001/MCG+00-33-008/LGG299:[G93]002/IRAS12425-0011/HIPASSJ1245-00/CGCG015-015/6dFJ1245086-002743/2MFGC10050/2MASXJ12450867-0027428,G,12.7524014,191.286021,-0.4618779,-0.06756,-0.023956,299.5378239,62.3683789,SABc,B,,,5.1,0.7,1.696,0.019,0.402,0.039,40.23,20.967,0.316,11.455,0.14,9.46,0.052,,0.75,180.76,2.1,,,,,13.52,0.125,1516.7,3.2,1518.3,2.8,0.107,0.677,69.57,10.663,,0.641,22.919,192.9,2.3,31.809,30.825,-21.147,3.0,12:45:07/12:45:10/12:45:05,-0:27:27/-0:27:59/-0:28:05,12:45:09,-0:27:32,P96
IC0299,0.032046,IC 0299,ASASSN14lt,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,03:11:03,-13:06:35,03:11:03,-13:06:39,P96
anon74,0.026995,2MASX J14103977-0241003,ASASSN14lu,Ia,1085367,PGC1085367,SDSSJ141039.75-024100.6/SDSSJ141039.74-024100.6/PGC1085367/NPM1G-02.0387/2MASXJ14103977-0241003/2DFGRSN206Z141,G,14.1777129,212.6656935,-2.6834711,-0.09966,-0.050404,338.6792819,54.5946331,E,,,,-5.0,2.0,0.733,0.082,0.1,0.027,174.55,20.469,0.308,15.351,0.402,13.468,0.232,,,,,,,,,,,,,8189.9,2.5,0.282,0.0,56.27,14.947,,,22.878,,,35.401,,-20.454,1.0,14:10:40,-2:41:01,14:10:40,-2:40:56,P96
anon75,0.049194,LCRS B232926.0-413242,ASASSN14lv,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23:32:07,-41:16:10,23:32:07,-41:16:12,P96
PGC043234,0.0206,PGC043234,ASASSN14li,TDE,43234,PGC043234,SDSSJ124815.23+174626.5/SDSSJ124815.23+174626.4/PGC043234/8ZW211/2MASSJ12481522+1746261,G,12.8042385,192.0635775,17.7739518,-0.0879,-0.022648,298.2781731,80.6168839,,,,,,,0.606,0.287,0.104,0.1,36.92,18.483,0.21,16.319,0.354,15.315,0.07,,,,,,,,,,,,,6169.1,2.2,0.11,,38.81,16.147,,,23.09,,,34.81,,-18.663,1.0,12:48:15,17:46:26,12:48:15,17:46:27,P96
anon76,0.016,GALEXASC J010647.95-465904.1,ASASSN14lw,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,01:06:48,-46:59:04,01:06:49,-46:59:00,P96
ESO113-G047,0.018,ESO 113- G 047,ASASSN14ig,Ia,5373,ESO113-047,RFGC0325/PGC173850/PGC005373/FGCE0160/ESOLV1130470/ESO113-047,G,1.4445154,21.667731,-57.9967949,-0.23316,-0.253836,293.9927071,-58.5156993,Sc,,,,5.3,0.9,1.1,0.036,0.906,0.029,13.58,22.599,0.807,16.502,0.208,15.41,0.077,,,,,,,,,,,,,,,0.091,1.46,90.0,14.951,,,24.1,,,,,,2.0,1:26:40/1:26:40,-57:59:26/-58:00:16,01:26:40,-57:59:50,P96
anon78,0.0311,GALEXASC J000454.54-322615.3,ASASSN14mf,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,00:04:55,-32:26:16,00:04:54,-32:26:15,P96
anon79,0.031,GALEXASC J025358.03-213854.7,ASASSN14mg,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,02:53:58,-21:38:55,02:53:58,-21:38:53,P96
PGC006240,0.027406,PGC006240,ASASSN14mw,Ia,6240,PGC006240,PGC006240/IRAS01399-6552/2MASXJ01413090-6536564,G,1.6919139,25.3787085,-65.6159851,0.01494,0.154636,294.8066378,-50.7148283,E-S0,,,,-2.9,1.5,1.039,0.068,0.262,0.042,109.12,,,14.5,0.5,12.31,0.074,,,,,,,249.12,46.46,,,,,8216.0,15.3,0.089,0.0,80.82,14.288,,,23.404,,,35.322,,-21.034,1.0,01:41:31,-65:36:56,01:41:25,-65:37:01,P96
